customer_id,home_city,avg_spend,favorite_category,risk_profile
1,Rawalpindi,53.44227993832054,electronics,high
2,Lahore,36.70791597453382,clothing,low
3,Karachi,47.231799816155856,fuel,high
4,Karachi,70.20922622789277,electronics,medium
5,Rawalpindi,40.54679414461921,entertainment,medium
6,Lahore,30.409655886115708,utilities,low
7,Faisalabad,43.592120340323284,grocery,high
8,Lahore,39.157188015235256,electronics,high
9,Karachi,33.23504079746307,fuel,low
10,Multan,39.27354996714739,utilities,low
11,Lahore,47.560738334178744,entertainment,medium
12,Karachi,26.364370455455205,entertainment,low
13,Faisalabad,34.63876252459801,fuel,low
14,Faisalabad,50.31510440500485,utilities,low
15,Islamabad,29.727765681363874,grocery,medium
16,Karachi,41.655079923245516,online_retail,medium
17,Islamabad,60.95233234273705,clothing,medium
18,Karachi,44.34619603011063,fuel,high
19,Islamabad,13.614312737979256,electronics,low
20,Lahore,24.83146923479665,online_retail,medium
21,Lahore,18.206376167933662,pharmacy,low
22,Islamabad,43.38400377193854,utilities,low
23,Islamabad,25.604456120188644,grocery,low
24,Rawalpindi,56.93154623040184,travel,low
25,Multan,52.83039829965134,electronics,low
26,Faisalabad,81.18448007975982,electronics,low
27,Multan,13.263548132583816,clothing,high
28,Rawalpindi,73.43423680320956,utilities,low
29,Islamabad,72.33193323546388,utilities,high
30,Karachi,88.94987209003376,electronics,low
31,Lahore,48.86870593102213,fuel,low
32,Islamabad,42.170319359404374,electronics,medium
33,Karachi,33.11377789111164,electronics,high
34,Faisalabad,14.342480008600356,clothing,low
35,Faisalabad,44.84577167990532,pharmacy,medium
36,Karachi,66.87344912223034,pharmacy,medium
37,Islamabad,48.605198902589244,fuel,low
38,Rawalpindi,23.877835068650132,clothing,low
39,Rawalpindi,31.818629437096895,electronics,low
40,Multan,80.01499931886705,restaurant,low
41,Multan,33.266365041032955,fuel,high
42,Karachi,18.707855787807183,travel,low
43,Faisalabad,66.85558460544671,clothing,low
44,Rawalpindi,25.863372763119052,entertainment,medium
45,Karachi,36.51836594878515,pharmacy,low
46,Lahore,24.151796417695497,fuel,low
47,Lahore,52.28305416000591,pharmacy,low
48,Faisalabad,30.12544213022367,clothing,low
49,Lahore,37.973600846105576,fuel,low
50,Multan,4.704315777531171,pharmacy,medium
51,Karachi,88.32097422934507,travel,low
